channel_id,all_comment_count,eng_comment_count
UC9BAayugOCs1MRYUa5s9nkA,2,0
UC9ET3GTgAhGC0jGf5yTXQTg,82,63
UC9EYldgBLKw3EqnSk95Q37w,8,4
UC9EgazNjxm-_3eydGQR45rQ,31,16
UC9K44RtwiROAwCpALm1wdyQ,34,24
UC9L_ZcFAtqA3o3cwo56ejMA,23,7
UC9MAhLcXqWZo2CKlFjLpDEA,33,20
UC9MAhZQQd9egwWCxrwSIsJQ,30,25
UC9MU35bTvG9t06yf70hcGqQ,50,33
UC9OqJwkkvJTQoHUKi1y8LoQ,30,23
UC9PVYlrwFSlqG7w8TDsqRvQ,26,0
UC9RM-iSvTu1uPJb8X5yp3EQ,32,23
UC9SVhrnsGxWwiBRWT9c7Ozw,23,21
UC9Tib0IsWBst6tlQ-p3L4Pw,30,29
UC9cpGw2hVv-6G-76HO22jQg,54,19
UC9dyrsYEmD4iGJ8Oz1G5dpw,37,19
UC9eaNdd1t64xLogaRVmGrow,4,0
UC9fJ0Ic5ki8XL8p2KUs4hmA,10,5
UC9guUZ_cJNtNTCsReHlIg1A,2,1
UC9hHiwe_gqxdHG3X1UGJEEA,31,17
UC9jbx97WHiM7aPA_A3Sl6hQ,32,22
UC9jqaqnrukj-VlYEHLF_S0w,33,20
UC9pzK5rFu0roGKcLNOBQ2bw,23,15
UC9r9HYFxEQOBXSopFS61ZWg,27,20
UC9rEXaObaNCOYU-bpElHntQ,14,1
UC9x0AN7BWHpCDHSm9NiJFJQ,108,80
UC9xghV-TcBwGvK-aEMhpt5w,32,27
UC9zX2xZIJ4cnwRsgBpHGvMg,31,21
UCA19mAJURyYHbJzhfpqhpCA,32,23
UCA1pil7GfHhJugZAhrDtTVQ,23,16
UCA5Kea1lxIUjcenLBujJt_Q,7,5
UCA5pIrTB-nK98lkFrTdRyfQ,32,16
UCA5scr9hNC7nMmDhdU8hkXA,35,18
UCABeEbafXvyp4Q2N_OOYi6g,37,4
UCACU6FM4RgOgX0IHB7dudFA,117,49
UCAF6O8b0QajgcNfT4kcPyNQ,29,20
UCAI5QLNSOSzOQTYCyNA06EQ,33,14
UCAL3JXZSzSm8AlZyD3nQdBA,37,23
UCAM2fyCjEdROyELretVTiiw,28,10
UCANLZYMidaCbLQFWXBC95Jg,57,38
UCAQOf_uPOJ6rXO_k9RwfK3A,33,17
UCAQg09FkoobmLquNNoO4ulg,37,26
UCASGyre6VNuPsF5f9f9nm8g,29,16
UCASNJRaxmqOljWhyagDdgOA,17,10
UCATNzbTbfeoMhNonZGZmrhA,23,16
UCAWn8LWOOorLB3OOwj6JwmQ,23,12
UCAYo8etw9D_IXLGgnr45Cfw,31,9
UCAZsAvNyldyiJWTuUFQnkfQ,39,27
UCAcgY29Ow-ggJSldNTTBdZA,25,18
UCAidhU356a0ej2MtFEylvBA,19,11
UCAmhbG40GSFEJEa-6Yj8zAQ,3,2
UCAr0yk0um7lwLjmrKfzwyig,51,48
UCAsZ8cqlGMeAig2Oud2ETRw,32,5
UCAuUUnT6oDeKwE6v1NGQxug,160,105
UCAynUBIkB7gX10An54eEt4A,28,22
UCB2qTDjzBSouovVXXwYKLlQ,23,9
UCB85mqzwxW1ochHxPbTEsjw,26,2
UCBC4egaXY3_2I6KuQy4FEnw,25,12
UCBEhL1MZrm56pZuzKb5s13w,29,19
UCBGOUQHNNtNGcGzVq5rIXjw,33,25
UCBGxe5vTiVWv7e2gP6QB1Mw,22,15
UCBGzm7haKhfUdBBREbGMfIA,33,22
UCBINFWq52ShSgUFEoynfSwg,33,14
UCBJycsmduvYEL83R_U4JriQ,182,133
UCBKvC2TWrSedladWZtezK8A,30,6
UCBM6AwaDl8uPVAN_BUIqPUw,35,17
UCBM_JsVb_65EWAc66WRtuFw,33,13
UCBN_7mH7JV66YN22wyNY8RQ,116,81
UCBOIxRfSIXDT03e116VTzCw,34,32
UCBQjTfMEcxMlI49KCQAHwYQ,27,14
UCBR6D7Rtvw98KYI0DUisT1w,24,4
UCBSE0woFBOMgMLLmlsRn9tQ,19,12
UCBSc0W_R6djZQXZhKpcdlaA,35,24
UCBVY4zJr4qTXdPlMus1VxqA,54,30
UCBWrBsr6oA9JtVaG6wT5XJg,33,13
UCB_qr75-ydFVKSF9Dmo6izg,33,21
UCBbpLKJLhIbDd_wX4ubU_Cw,1,0
UCBcVQr-07MH-p9e2kRTdB3A,18,15
UCBi2mrWuNuyYy4gbM6fU18Q,114,71
UCBj244LMgn9I1JfPNeLMyew,30,21
UCBkNerkJ8362Pat0Fw7T-uA,27,23
UCBr2W3nb0jPSnommNbbpMAw,36,22
UCBt6XQJC3G40OUjb316ENLg,32,19
UCBvZ2hEzZZaWAIrUHVN6YUw,54,20
UCBwmMxybNva6P_5VmxjzwqA,84,46
UCBzJB1kZcFcn65HknBCfCcA,38,22
UCC0-MHKPdq09Mtg5bGjFY7A,37,20
UCC184ncihJzZze2CmfAQGOQ,28,6
UCC1Mi4fVXKETdFGDlW7rC3w,37,34
UCC2nOsHWoccGP7ZzbuMYV0w,21,17
UCC552Sd-3nyi_tk2BudLUzA,33,24
UCC6gbNO098rkQKCU0ZaLITQ,24,3
UCCB1tNcxtHw7kkCzCUqGteg,25,19
UCCB6sAb8YsTr16-bIxFQUhA,33,7
UCCJsQKOKArvDksacfT2ryQw,29,14
UCCK3OZi788Ok44K97WAhLKQ,26,2
UCCLg0FJsmxdyHf9sHJlnsTA,32,26
UCCMAz1jZ4_IyhthHk23EMJQ,114,86
UCCNFCLWh1AA-qbyOyp8jlZg,30,18
UCCNw1OSmIlqIXrzeLE4e7fw,37,20
UCCODtTcd5M1JavPCOr_Uydg,133,92
UCCOi5b2vqQ0hHQRBZ6yoT3w,40,14
UCCOrp7GPgZA8EGrbOcIAsyQ,65,52
